N = 14;
T = 7;
K = 2;
C = 146.0;
furnance = 2;
color = 1;
machines = [4 5];
products = [52 121 145 56 425 188 63 99 9 106 204 252 415 87];
MINik = [[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0],[12.0 12.0]];
[[10.0 8.0],[0.0 0.0],[10.0 6.0],[10.0 9.0],[9.0 9.0],[10.0 11.0],[10.0 9.0],[8.0 8.0],[11.0 7.0],[9.0 9.0],[12.0 12.0],[8.0 7.0],[12.0 10.0],[5.0 5.0]]
[[9.0 11.0],[6.0 5.0],[0.0 0.0],[10.0 10.0],[14.0 12.0],[9.0 7.0],[7.0 11.0],[13.0 11.0],[9.0 9.0],[9.0 8.0],[9.0 8.0],[7.0 9.0],[7.0 7.0],[4.0 4.0]]
[[8.0 7.0],[6.0 7.0],[8.0 10.0],[0.0 0.0],[14.0 10.0],[8.0 12.0],[12.0 10.0],[7.0 10.0],[10.0 9.0],[9.0 8.0],[11.0 12.0],[9.0 8.0],[7.0 11.0],[7.0 5.0]]
[[7.0 10.0],[5.0 6.0],[6.0 10.0],[11.0 9.0],[0.0 0.0],[9.0 7.0],[10.0 10.0],[11.0 8.0],[8.0 11.0],[8.0 10.0],[12.0 12.0],[6.0 9.0],[8.0 12.0],[4.0 5.0]]
[[8.0 7.0],[10.0 9.0],[6.0 10.0],[13.0 8.0],[10.0 10.0],[0.0 0.0],[7.0 11.0],[9.0 9.0],[11.0 9.0],[7.0 8.0],[8.0 11.0],[8.0 12.0],[7.0 11.0],[6.0 4.0]]
[[8.0 8.0],[5.0 8.0],[7.0 9.0],[10.0 11.0],[9.0 13.0],[12.0 7.0],[0.0 0.0],[11.0 10.0],[8.0 8.0],[10.0 12.0],[12.0 8.0],[7.0 11.0],[9.0 12.0],[5.0 5.0]]
[[9.0 8.0],[6.0 7.0],[10.0 7.0],[8.0 10.0],[8.0 14.0],[7.0 10.0],[9.0 8.0],[0.0 0.0],[10.0 6.0],[11.0 10.0],[8.0 11.0],[12.0 11.0],[11.0 8.0],[5.0 7.0]]
[[7.0 7.0],[8.0 7.0],[9.0 9.0],[13.0 9.0],[10.0 14.0],[9.0 8.0],[7.0 12.0],[13.0 13.0],[0.0 0.0],[7.0 11.0],[7.0 8.0],[7.0 9.0],[8.0 11.0],[4.0 6.0]]
[[10.0 7.0],[7.0 7.0],[6.0 10.0],[8.0 14.0],[13.0 9.0],[8.0 12.0],[8.0 7.0],[9.0 10.0],[9.0 11.0],[0.0 0.0],[11.0 9.0],[11.0 11.0],[9.0 10.0],[5.0 6.0]]
[[11.0 10.0],[6.0 7.0],[6.0 9.0],[13.0 7.0],[8.0 11.0],[8.0 9.0],[8.0 7.0],[11.0 10.0],[9.0 7.0],[11.0 9.0],[0.0 0.0],[9.0 11.0],[11.0 9.0],[4.0 6.0]]
[[9.0 11.0],[6.0 6.0],[10.0 7.0],[8.0 10.0],[12.0 13.0],[8.0 11.0],[11.0 8.0],[10.0 11.0],[8.0 8.0],[9.0 7.0],[12.0 11.0],[0.0 0.0],[12.0 7.0],[5.0 6.0]]
[[10.0 9.0],[6.0 9.0],[10.0 8.0],[9.0 12.0],[10.0 8.0],[12.0 9.0],[12.0 8.0],[13.0 13.0],[7.0 6.0],[8.0 8.0],[10.0 11.0],[9.0 9.0],[0.0 0.0],[5.0 5.0]]
[[8.0 9.0],[10.0 6.0],[10.0 10.0],[8.0 11.0],[9.0 9.0],[12.0 12.0],[9.0 8.0],[14.0 9.0],[9.0 11.0],[8.0 9.0],[8.0 10.0],[8.0 12.0],[11.0 9.0],[0.0 0.0]]];
Hi = [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2];
